,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
170,"[-0.004541, 0.029491000000000003, 0.016912, 0.050098000000000004]","[0.050098000000000004, 0.029491000000000003, 0.016912, -0.004541]","[-0.004541, 0.016912, 0.029491000000000003, 0.050098000000000004]",73.20778198722523,73.20778198722523,73.20778198722523,73.20778198722523,0.0,0.050098000000000004,-0.004541,0.05463900000000001
171,"[0.029491000000000003, 0.016912, 0.050098000000000004, 0.011422]","[0.050098000000000004, 0.029491000000000003, 0.016912, 0.011422]","[0.011422, 0.016912, 0.029491000000000003, 0.050098000000000004]",103.42331161443789,103.42331161443789,103.42331161443789,103.42331161443789,0.0,0.050098000000000004,0.011422,0.038676
172,"[0.016912, 0.050098000000000004, 0.011422, 0.01599]","[0.050098000000000004, 0.016912, 0.01599, 0.011422]","[0.011422, 0.01599, 0.016912, 0.050098000000000004]",103.42331161443789,103.42331161443789,103.42331161443789,103.42331161443789,0.0,0.050098000000000004,0.011422,0.038676
173,"[0.050098000000000004, 0.011422, 0.01599, 0.012458]","[0.050098000000000004, 0.01599, 0.012458, 0.011422]","[0.011422, 0.012458, 0.01599, 0.050098000000000004]",103.42331161443789,103.42331161443789,103.42331161443789,103.42331161443789,0.0,0.050098000000000004,0.011422,0.038676
174,"[0.011422, 0.01599, 0.012458, 0.057741]","[0.057741, 0.01599, 0.012458, 0.011422]","[0.011422, 0.012458, 0.01599, 0.057741]",86.35765020833783,86.35765020833783,86.35765020833783,86.35765020833783,0.0,0.057741,0.011422,0.046319
175,"[0.01599, 0.012458, 0.057741, 0.9418770000000001]","[0.9418770000000001, 0.057741, 0.01599, 0.012458]","[0.012458, 0.01599, 0.057741, 0.9418770000000001]",4.303763964369137,4.303763964369137,4.303763964369137,4.303763964369137,0.0,0.9418770000000001,0.012458,0.9294190000000001
176,"[0.012458, 0.057741, 0.9418770000000001, 0.02305]","[0.9418770000000001, 0.057741, 0.02305, 0.012458]","[0.012458, 0.02305, 0.057741, 0.9418770000000001]",4.303763964369137,4.303763964369137,4.303763964369137,4.303763964369137,0.0,0.9418770000000001,0.012458,0.9294190000000001
177,"[0.057741, 0.9418770000000001, 0.02305, 0.014959]","[0.9418770000000001, 0.057741, 0.02305, 0.014959]","[0.014959, 0.02305, 0.057741, 0.9418770000000001]",4.315376333181575,4.315376333181575,4.315376333181575,4.315376333181575,0.0,0.9418770000000001,0.014959,0.9269180000000001
178,"[0.9418770000000001, 0.02305, 0.014959, 0.013107]","[0.9418770000000001, 0.02305, 0.014959, 0.013107]","[0.013107, 0.014959, 0.02305, 0.9418770000000001]",4.306771321209772,4.306771321209772,4.306771321209772,4.306771321209772,0.0,0.9418770000000001,0.013107,0.9287700000000001
179,"[0.02305, 0.014959, 0.013107, 0.5435380000000001]","[0.5435380000000001, 0.02305, 0.014959, 0.013107]","[0.013107, 0.014959, 0.02305, 0.5435380000000001]",7.5410373828075645,7.5410373828075645,7.5410373828075645,7.5410373828075645,0.0,0.5435380000000001,0.013107,0.5304310000000001
180,"[0.014959, 0.013107, 0.5435380000000001, 0.00436]","[0.5435380000000001, 0.014959, 0.013107, 0.00436]","[0.00436, 0.013107, 0.014959, 0.5435380000000001]",7.418700317891308,7.418700317891308,7.418700317891308,7.418700317891308,0.0,0.5435380000000001,0.00436,0.539178
181,"[0.013107, 0.5435380000000001, 0.00436, 1.872602]","[1.872602, 0.5435380000000001, 0.013107, 0.00436]","[0.00436, 0.013107, 0.5435380000000001, 1.872602]",1.6057876870341208,2.1410502493788277,2.1410502493788277,2.1410502493788277,0.0,1.872602,0.00436,1.8682420000000002
182,"[0.5435380000000001, 0.00436, 1.872602, 0.048247000000000005]","[1.872602, 0.5435380000000001, 0.048247000000000005, 0.00436]","[0.00436, 0.048247000000000005, 0.5435380000000001, 1.872602]",1.6057876870341208,2.1410502493788277,2.1410502493788277,2.1410502493788277,0.0,1.872602,0.00436,1.8682420000000002
183,"[0.00436, 1.872602, 0.048247000000000005, 0.107411]","[1.872602, 0.107411, 0.048247000000000005, 0.00436]","[0.00436, 0.048247000000000005, 0.107411, 1.872602]",1.6057876870341208,2.1410502493788277,2.1410502493788277,2.1410502493788277,0.0,1.872602,0.00436,1.8682420000000002
184,"[1.872602, 0.048247000000000005, 0.107411, 0.119052]","[1.872602, 0.119052, 0.107411, 0.048247000000000005]","[0.048247000000000005, 0.107411, 0.119052, 1.872602]",1.6444167938805767,2.1925557251741026,2.1925557251741026,2.1925557251741026,0.0,1.872602,0.048247000000000005,1.8243550000000002
185,"[0.048247000000000005, 0.107411, 0.119052, 0.5329]","[0.5329, 0.119052, 0.107411, 0.048247000000000005]","[0.048247000000000005, 0.107411, 0.119052, 0.5329]",8.253327638537261,8.253327638537261,8.253327638537261,8.253327638537261,0.0,0.5329,0.048247000000000005,0.48465300000000006
186,"[0.107411, 0.119052, 0.5329, 0.6106710000000001]","[0.6106710000000001, 0.5329, 0.119052, 0.107411]","[0.107411, 0.119052, 0.5329, 0.6106710000000001]",7.948177880220959,7.948177880220959,7.948177880220959,7.948177880220959,0.0,0.6106710000000001,0.107411,0.50326
187,"[0.119052, 0.5329, 0.6106710000000001, 0.015121]","[0.6106710000000001, 0.5329, 0.119052, 0.015121]","[0.015121, 0.119052, 0.5329, 0.6106710000000001]",6.7164805641843675,6.7164805641843675,6.7164805641843675,6.7164805641843675,0.0,0.6106710000000001,0.015121,0.59555
188,"[0.5329, 0.6106710000000001, 0.015121, 0.388842]","[0.6106710000000001, 0.5329, 0.388842, 0.015121]","[0.015121, 0.388842, 0.5329, 0.6106710000000001]",6.7164805641843675,6.7164805641843675,6.7164805641843675,6.7164805641843675,0.0,0.6106710000000001,0.015121,0.59555
189,"[0.6106710000000001, 0.015121, 0.388842, 0.6275970000000001]","[0.6275970000000001, 0.6106710000000001, 0.388842, 0.015121]","[0.015121, 0.388842, 0.6106710000000001, 0.6275970000000001]",6.530868148302954,6.530868148302954,6.530868148302954,6.530868148302954,0.0,0.6275970000000001,0.015121,0.612476
