,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
61,"[1133.0, 1680.0, 9290.0, 551.0]","[9290.0, 1680.0, 1133.0, 551.0]","[551.0, 1133.0, 1680.0, 9290.0]",0.0,0.0,0.0,0.0,0.0004577182744021055,9290.0,551.0,8739.0
62,"[1680.0, 9290.0, 551.0, 1300.0]","[9290.0, 1680.0, 1300.0, 551.0]","[551.0, 1300.0, 1680.0, 9290.0]",0.0,0.0,0.0,0.0,0.0004577182744021055,9290.0,551.0,8739.0
63,"[9290.0, 551.0, 1300.0, 606.0]","[9290.0, 1300.0, 606.0, 551.0]","[551.0, 606.0, 1300.0, 9290.0]",0.0,0.0,0.0,0.0,0.0004577182744021055,9290.0,551.0,8739.0
64,"[551.0, 1300.0, 606.0, 379.0]","[1300.0, 606.0, 551.0, 379.0]","[379.0, 551.0, 606.0, 1300.0]",0.0,0.0,0.0,0.0,0.004343105320304018,1300.0,379.0,921.0
65,"[1300.0, 606.0, 379.0, 347.0]","[1300.0, 606.0, 379.0, 347.0]","[347.0, 379.0, 606.0, 1300.0]",0.0,0.0,0.0,0.0,0.004197271773347324,1300.0,347.0,953.0
66,"[606.0, 379.0, 347.0, 2103.0]","[2103.0, 606.0, 379.0, 347.0]","[347.0, 379.0, 606.0, 2103.0]",0.0,0.0,0.0,0.0,0.002277904328018223,2103.0,347.0,1756.0
67,"[379.0, 347.0, 2103.0, 5198.0]","[5198.0, 2103.0, 379.0, 347.0]","[347.0, 379.0, 2103.0, 5198.0]",0.0,0.0,0.0,0.0,0.0008245722531436817,5198.0,347.0,4851.0
68,"[347.0, 2103.0, 5198.0, 1930.0000000000002]","[5198.0, 2103.0, 1930.0000000000002, 347.0]","[347.0, 1930.0000000000002, 2103.0, 5198.0]",0.0,0.0,0.0,0.0,0.0008245722531436817,5198.0,347.0,4851.0
69,"[2103.0, 5198.0, 1930.0000000000002, 391.0]","[5198.0, 2103.0, 1930.0000000000002, 391.0]","[391.0, 1930.0000000000002, 2103.0, 5198.0]",0.0,0.0,0.0,0.0,0.0008321198252548367,5198.0,391.0,4807.0
70,"[5198.0, 1930.0000000000002, 391.0, 47737.0]","[47737.0, 5198.0, 1930.0000000000002, 391.0]","[391.0, 1930.0000000000002, 5198.0, 47737.0]",0.0,0.0,0.0,0.0,8.448443374308283e-05,47737.0,391.0,47346.0
71,"[1930.0000000000002, 391.0, 47737.0, 1906.0000000000002]","[47737.0, 1930.0000000000002, 1906.0000000000002, 391.0]","[391.0, 1906.0000000000002, 1930.0000000000002, 47737.0]",0.0,0.0,0.0,0.0,8.448443374308283e-05,47737.0,391.0,47346.0
